sample	viral_reads
HN1-BL	12.94046503
HN1-d008	198.2531262
HN1-d049	0
HN1-d090	0
HN1-d180	0
HN1-d365	0
HN2-BL	25.1219438
HN2-d008	99.42532589
HN2-d049	17.09602257
HN2-d090	0
HN2-d365	0
HN3-BL	33.72004101
HN3-d008	61.7424246
HN3-d049	1.156914467
HN3-d090	0
HN3-d180	0
HN3-d365	0
HN4-BL	0
HN4-d008	8.68153247
HN4-d043	0
HN4-d090	0
HN4-d180	0
HN4-d365	0
HN5-BL	0
HN5-d008	0
HN5-d043	0
HN5-d090	0
HN5-d180	0
HN5-d365	0
HN6-BL	0
HN6-d008	0
HN6-d043	0
HN6-d090	0
HN6-d180	0
HN6-d365	0
HN7-BL	0
HN7-d008	0
HN7-d043	0
HN7-d090	0
HN7-d180	0
HV1	0
HV3	0
HV4	0
HV5	0
HV6	0
HV7	0
HV8	0
OMD1-BL	0
OMD1-d002	0
OMD1-d005	0
OMD1-d090	0
OMD1-d180	0
OMD4-BL	0
OMD4-d002	0
OMD4-d005	0
OMD4-d090	0
OMD4-d180	0
OMD4-d365	0
OMD5-BL	0
OMD5-d002	0
OMD5-d005	0
OMD5-d090	0
OMD5-d180	0
OMD6-BL	0
OMD6-d002	0
OMD6-d005	0
OMD6-d090	0
OMD6-d180	0
OMD6-d365	0
OMD7-BL	0
OMD7-d002	0
OMD7-d090	0
OMD7-d180	0
OMD7-d365	0
OMD8-BL	0
OMD8-d002	0
OMD8-d010	0
OMD8-d090	0
OMD8-d180	0
OMD8-d365	0
OMD9-BL	0
OMD9-d002	0
OMD9-d005	0
OMD9-d090	0
OMD9-d180	0
OMD9-d365	0
PV1	0
PV3	0
PV4	0
PV5	0
PV6	0
PV7	0
PV9	0